,"04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20","05/02/20","05/04/20","05/05/20","05/06/20","05/07/20","05/08/20","05/09/20","05/10/20","05/11/20","05/12/20","05/13/20"
"85194",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10
"85201",16,18,18,18,18,18,19,19,20,21,21,22,22,25,28,30,32,32,33,33
"85202",86,88,90,94,97,100,106,107,125,133,148,157,162,143,155,157,152,159,148,133
"85203",16,19,18,17,17,17,19,19,22,25,35,38,44,48,54,61,56,56,70,64
"85204",39,40,40,40,43,46,47,52,52,54,56,56,59,61,62,63,65,65,69,69
"85205",46,51,51,53,56,58,59,63,63,64,68,70,71,74,75,75,73,73,74,75
"85206",108,119,120,124,124,124,127,133,137,140,144,148,160,160,174,173,171,173,174,174
"85207",28,28,28,28,28,30,30,31,32,32,33,33,33,36,42,42,43,43,49,48
"85208",22,23,24,24,25,24,24,24,27,28,27,27,27,27,30,31,31,34,35,39
"85209",40,44,45,46,48,48,49,51,52,54,55,56,61,59,62,63,59,60,61,62
"85210",16,17,19,20,20,21,22,25,27,28,31,32,32,31,32,37,37,41,41,45
"85212",27,27,27,27,28,28,29,29,31,33,33,34,35,35,35,36,34,35,36,36
"85213",15,16,17,17,17,17,17,18,19,21,22,22,23,23,23,23,24,25,26,26
"85215",12,12,12,12,12,12,12,13,15,15,17,17,18,17,17,17,15,16,16,16
"85224",67,68,71,72,79,106,112,124,138,151,161,161,162,164,168,172,175,175,176,176
"85225",40,44,46,48,48,50,51,56,62,73,78,78,82,84,84,86,86,87,90,93
"85226",20,18,19,19,19,19,20,20,21,22,22,22,23,21,23,23,23,22,22,23
"85233",29,31,32,32,32,32,32,32,32,33,35,36,35,34,34,34,35,36,38,38
"85234",21,23,24,24,24,24,25,28,32,33,34,39,41,35,38,39,36,36,37,38
"85248",28,28,31,31,35,35,36,42,46,46,47,49,51,48,52,54,50,49,50,48
"85249",32,34,34,34,34,34,34,40,43,43,43,46,48,42,47,48,47,47,48,47
"85250",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,6-10,11,11,6-10,6-10,6-10,6-10
"85251",34,33,36,36,38,36,39,43,43,43,47,51,51,51,52,51,50,51,52,54
"85253",34,34,34,35,36,37,37,40,40,42,43,43,44,42,44,45,45,46,46,46
"85254",31,32,32,32,33,33,33,34,34,37,37,37,37,37,38,37,37,37,37,37
"85255",36,36,37,37,37,39,39,40,42,43,45,48,48,45,44,44,44,44,44,46
"85256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85257",89,96,98,99,99,100,100,106,106,108,107,110,113,116,117,121,119,122,121,122
"85258",20,20,20,20,20,19,19,19,19,19,22,21,20,22,24,22,22,22,21,21
"85259",11,11,11,11,6-10,13,13,14,14,14,13,13,13,15,14,16,14,13,13,13
"85260",31,31,30,30,30,30,30,35,36,39,40,40,41,35,39,38,37,37,37,37
"85262",11,11,12,12,12,12,12,14,14,15,15,15,15,13,13,13,13,13,13,13
"85263",0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85266",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,1-5,1-5,1-5,1-5,1-5
"85268",24,24,24,24,25,25,25,26,26,27,27,27,27,27,26,28,26,26,28,28
"85281",43,43,48,49,51,50,51,50,54,55,60,61,64,62,65,70,73,75,75,75
"85282",32,34,34,35,35,35,35,36,39,40,41,42,42,39,41,41,43,42,45,44
"85283",24,27,33,36,36,36,36,38,37,38,40,40,42,50,52,57,55,57,61,64
"85284",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,11,11,12,12
"85286",28,28,28,29,28,28,28,33,35,36,36,40,43,36,40,42,41,41,41,41
"85287",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5
"85295",26,27,27,28,27,30,28,33,35,38,40,41,40,35,37,38,42,42,42,42
"85296",19,20,21,21,22,22,22,24,24,26,26,26,26,24,24,26,28,29,30,29
"85297",30,30,29,29,31,32,32,35,35,36,37,38,39,39,39,39,40,41,44,46
"85298",28,28,29,31,31,31,31,31,32,32,32,32,33,30,32,33,32,32,33,34
"85301",50,57,61,61,63,66,68,79,84,95,102,105,105,113,121,129,133,144,148,154
"85302",20,21,22,23,23,23,27,29,32,33,38,42,45,59,71,83,90,92,99,106
"85303",24,25,27,28,29,30,30,31,31,35,38,41,41,47,50,60,63,66,77,76
"85304",21,23,25,29,29,29,30,31,31,34,35,36,38,34,41,42,39,39,38,40
"85305",12,16,16,17,18,18,21,29,31,33,37,41,47,46,49,51,51,54,55,58
"85306",1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,12,13,14,15,15,14,15,17
"85307",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"85308",37,37,38,39,39,39,38,41,42,42,44,47,50,49,51,50,49,51,52,55
"85309",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85310",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,11,13,14,15,14,14,14,14,14,14,14
"85320",0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85321",0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,0,0,0,0,0,0,0,0,0
"85322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85323",23,24,25,27,28,32,34,38,41,43,49,53,57,63,67,71,72,74,74,78
"85324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85326",28,33,34,34,34,36,38,39,40,42,51,50,56,63,68,76,83,84,88,90
"85328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85329",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85331",14,14,14,14,14,14,14,14,16,16,18,19,19,17,18,18,18,18,18,18
"85332",0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0,0,0,0
"85333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85335",18,20,22,25,26,27,27,30,33,39,39,39,44,45,46,50,51,52,56,59
"85336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85337",0,0,0,0,0,0,0,0,0,0,0,0,1-5,0,0,0,0,0,0,0
"85338",23,25,26,27,27,27,27,29,29,31,38,39,41,41,45,48,48,52,55,59
"85339",33,33,36,39,40,42,44,45,48,53,58,58,58,62,65,71,72,76,80,80
"85340",12,13,13,13,13,13,13,13,13,16,16,16,18,18,18,20,21,22,22,22
"85341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85342",0,0,0,0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85345",46,52,53,54,55,57,57,60,64,68,75,77,80,83,89,92,94,100,104,108
"85346",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85348",0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10
"85349",6-10,6-10,6-10,11,12,15,15,17,18,22,27,26,32,34,34,36,41,40,42,54
"85350",6-10,6-10,6-10,6-10,6-10,12,14,18,18,18,29,30,30,37,38,48,51,55,56,69
"85351",26,26,28,33,32,36,37,37,38,39,39,40,42,39,39,43,45,46,48,47
"85352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85353",25,33,37,37,39,40,47,52,54,56,65,67,68,77,78,83,87,90,95,96
"85354",1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,11,11,11,11,11,11,12
"85355",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10
"85356",0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85361",1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,11,11,12,13,13,14
"85362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85363",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,20,21,21,22,31,35,44,52,56,59
"85364",19,21,22,22,22,24,26,32,33,35,41,45,58,62,72,74,76,77,81,89
"85365",1-5,1-5,6-10,6-10,6-10,6-10,6-10,12,13,12,12,13,13,14,15,16,18,19,21,23
"85367",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10
"85373",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"85374",15,16,16,17,18,19,19,19,19,19,21,24,23,24,26,26,28,30,31,32
"85375",6-10,6-10,12,45,46,46,47,49,48,53,55,55,56,58,58,58,55,54,55,55
"85377",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85378",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,12,12,12,12,12,12,12,12,12
"85379",24,24,24,24,24,25,25,27,27,27,28,28,31,33,34,38,39,41,42,43
"85381",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,13,14,16,35,35,38,39,40,39,40,40
"85382",105,106,111,113,115,114,124,129,127,129,130,131,131,129,130,132,131,132,133,135
"85383",33,34,34,34,34,37,37,37,38,39,43,44,44,42,45,46,45,45,46,47
"85387",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,11,12,11,12,14,14,15
"85388",11,11,11,12,13,13,13,13,13,14,14,15,15,15,15,15,16,16,19,20
"85390",0,0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,0,0,0,0,0,0,1-5
"85392",22,25,28,29,30,30,30,36,39,42,42,42,47,49,52,55,56,57,58,60
"85395",18,18,18,18,18,19,19,22,22,23,24,25,26,30,30,32,33,33,34,34
"85396",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,11,11,6-10,6-10,13,15,16,17,17
"85501",1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"85530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85532",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85533",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85536",0,0,0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85540",0,0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85541",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"85542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85543",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,6-10,6-10,6-10,6-10
"85544",0,0,0,0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85545",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85546",1-5,1-5,1-5,1-5,1-5,1-5,6-10,11,12,12,13,13,13,14,13,12,11,11,11,11
"85550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85552",0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85602",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85605",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85606",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,0,0,0,0,0,0,0,0,0,0
"85607",11,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15
"85609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85611",0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85614",49,51,54,56,61,72,72,73,72,72,71,73,80,80,94,94,95,95,95,95
"85615",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85616",0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85618",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85621",6-10,6-10,11,11,11,11,11,11,11,12,11,11,12,14,14,15,20,20,24,24
"85622",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"85623",0,0,0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85624",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85629",23,23,23,25,25,25,25,27,28,28,31,31,35,35,34,34,34,33,38,38
"85630",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85631",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85634",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85635",6-10,11,11,11,11,11,11,11,11,11,11,11,11,6-10,6-10,6-10,6-10,6-10,11,11
"85637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-5,1-5,1-5,1-5,1-5,0
"85639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85641",16,16,16,17,17,17,18,19,19,19,18,18,20,22,23,23,23,24,24,24
"85643",1-5,0,0,0,0,0,0,0,1-5,1-5,0,0,0,0,0,0,0,0,0,1-5
"85645",1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5,1-5
"85646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85648",17,18,18,18,18,18,18,18,19,19,21,21,22,21,22,22,22,23,24,24
"85650",6-10,6-10,6-10,6-10,6-10,1-5,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10
"85653",6-10,6-10,6-10,6-10,6-10,6-10,11,11,14,13,13,13,13,13,14,15,15,15,15,17
"85658",11,11,11,11,11,11,11,11,11,12,12,12,14,14,14,14,14,14,14,14
"85701",6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,6-10,11,11,11,12,13,13,13,13,13
