,"04/23/20","04/24/20","04/25/20","04/26/20","04/27/20","04/28/20","04/29/20","04/30/20","05/01/20"
"17050",34,34,36,37,38,42,43,43,43
"17051",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17052",0,0,0,0,0,0,0,0,0
"17053",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17055",22,22,22,25,30,30,33,33,35
"17057",21,23,26,27,27,28,28,28,30
"17058",17,17,17,17,17,18,18,18,18
"17059",34,34,34,34,34,34,34,34,35
"17060",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17061",NA,NA,5,5,5,6,5,5,7
"17062",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17063",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17064",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17065",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17066",5,5,5,5,5,5,8,8,8
"17067",33,38,40,44,44,44,45,49,49
"17068",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17070",16,17,19,19,19,19,20,20,20
"17071",0,0,0,0,0,0,0,0,0
"17073",7,7,8,9,10,10,10,11,11
"17074",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17076",0,0,0,0,0,0,0,0,0
"17078",23,25,25,27,27,28,28,28,29
"17080",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17082",12,12,12,13,14,14,15,16,16
"17084",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17086",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17087",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17090",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17094",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17097",0,0,0,0,0,0,0,0,0
"17098",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17099",0,0,0,0,0,0,0,0,0
"17101",13,13,13,13,14,14,14,13,13
"17102",16,18,20,20,20,20,20,25,25
"17103",14,18,21,24,26,28,27,27,29
"17104",48,50,53,59,61,64,65,68,72
"17109",30,30,31,32,33,35,36,38,39
"17110",53,57,62,68,68,69,71,70,71
"17111",99,104,107,114,116,125,126,134,137
"17112",24,26,27,27,28,29,29,29,29
"17113",11,12,12,12,12,14,15,16,16
"17120",0,0,0,0,0,0,0,0,0
"17201",61,67,76,82,92,98,116,126,148
"17202",17,18,20,21,23,30,31,37,40
"17211",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17212",0,0,0,0,0,0,0,0,0
"17213",0,0,0,0,0,0,0,NA,NA
"17214",0,0,0,0,0,0,0,0,0
"17215",0,0,0,0,0,0,0,0,0
"17217",0,0,0,0,0,0,0,NA,NA
"17219",0,0,0,0,0,0,0,0,0
"17220",0,0,0,0,0,0,0,0,0
"17221",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17222",14,20,21,24,28,30,32,33,33
"17223",0,0,0,0,0,0,0,0,0
"17224",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17225",11,11,11,11,11,13,14,14,14
"17228",0,0,0,0,0,0,0,0,0
