cityEnglishName,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20
Bengbu,1,1,1,3,3,3,8,15,15,26,37,43,43,48,88,99,115,126,134,141,141,149,153,157,158,158,159,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA
Benxi,NA,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,3,NA,NA,NA,3,3,NA,3,NA,3,NA,3,3,3,3,3,NA,3,NA,3,3,NA,NA,3,3,3,3,3,3,3,3,NA,3,3,3,3,3,3,NA,3,3,NA,3
Bijie,NA,NA,NA,NA,NA,NA,1,1,NA,4,4,8,11,13,13,21,21,21,21,22,22,23,23,23,23,23,23,23,23,23,23,NA,23,NA,23,NA,NA,NA,23,NA,NA,NA,NA,23,23,23,23,23,23,23,23,NA,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Binhai New Area,NA,NA,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,NA,3,NA,NA,NA,3,3,NA,3,NA,NA,3,NA,NA,NA,NA,3,NA,NA,3,3,NA,3,3,3,3,3,3,3,NA,3,3,NA,NA,3,3,3,3,3,3,3,NA
Binzhou,NA,1,1,3,4,6,7,9,9,9,10,11,11,11,11,11,11,11,11,12,12,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,NA,15,15,NA,15,15,15,15,15,NA,15,15,15,NA,NA,15,15,NA,15,15,15,15,15,15,15,15,NA,15,NA,15,NA
Bishan District,NA,2,2,2,3,4,4,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,9,NA,9,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bozhou,1,1,4,6,8,15,20,20,20,30,39,48,48,66,72,81,87,92,92,97,97,106,107,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA
Cangzhou,0,1,2,2,5,8,12,18,19,19,19,20,20,21,23,28,28,28,32,37,37,45,46,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,NA,NA,NA,NA,48,48,NA,NA,NA,NA,NA,NA,NA,NA,48,48,NA,NA,NA,NA,NA,NA,48,NA,48,48,48,NA,48,NA,48,NA,48,NA,NA,NA,NA,NA
Changchun,1,1,NA,1,1,1,4,4,7,12,17,18,28,29,32,32,37,39,40,42,42,43,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,NA,45,45,45,NA,NA,45,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,46,NA,46,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,46,46,46,46,NA
Changde,NA,3,3,7,19,26,30,37,39,42,45,50,50,62,64,66,66,72,73,73,75,78,78,79,79,79,79,79,80,80,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
